DEPT;SP;RHOZ;PEFZ;AT90;DTCO;Zones
1817.5;-5.803229809;2.234418869;2.933613539;0.90835917;95.29205322;3
1818;-3.817384481;2.268602848;2.85185051;1.006828785;107.9376755;3
1818.5;-3.550679684;2.273969173;2.734886646;1.745728374;110.4818649;3
1819;-3.320199966;2.274692774;2.770304918;1.889595389;110.3516922;3
1819.5;-4.973240852;2.429584742;3.053237677;3.429268837;112.2768631;3
1820;-6.624310493;2.481309652;2.866136313;2.383943319;90.98897553;3
1820.5;-7.570217133;2.468048334;2.652536154;2.08792305;88.15590668;3
1821;-9.080228806;2.485209942;2.700546742;2.256374598;88.20446777;3
1821.5;-9.738529205;2.470814705;2.726880789;2.516373634;83.81585693;3
1822;-18.88502884;2.524844647;2.943860769;7.583099842;79.2893219;3
1822.5;-31.1742382;2.391694546;3.022870302;6.90146637;79.03923035;3
1823;-37.30787659;2.322647095;2.295209646;4.199511051;84.56974793;3
1823.5;-42.07625198;2.293537378;2.205928564;3.697392464;85.86081696;3
1824;-44.18586731;2.279733181;2.22347784;3.188492537;86.03838348;3
1824.5;-40.0517807;2.242297173;2.133227587;2.983777046;85.04115295;3
1825;-25.41339111;2.315340281;2.316053391;2.948177338;84.83163452;3
1825.5;-26.48669815;2.398569584;2.40259099;3.875293493;85.76280212;3
1826;-29.1353054;2.358924151;2.306400061;4.023280144;86.79836273;3
1826.5;-31.50292778;2.312612772;2.341168881;4.326613903;85.9875412;3
1827;-28.6558609;2.392205477;2.562067747;4.300842762;85.27974701;3
1827.5;-26.20646477;2.359284878;2.453884602;4.213157654;83.13324738;3
1828;-16.95621109;2.43032217;2.718842268;3.579739094;82.22395325;3
1828.5;-26.31326485;2.449320078;2.689007998;4.622597694;81.71098328;3
1829;-35.00658417;2.345612764;2.388645887;6.154588699;80.12435913;3
1829.5;-36.57352448;2.368019581;2.241012573;6.860796452;78.60823822;3
1830;-39.80865097;2.344947815;2.224494934;5.58757019;80.30635071;3
1830.5;-42.66118622;2.29536438;2.190958023;4.848432064;82.55188751;3
1831;-40.80911255;2.311198711;2.222277165;4.372366905;82.32178497;3
1831.5;-37.07299805;2.333182573;2.285830021;4.455830574;81.82077026;3
1832;-35.16145706;2.340620041;2.306189537;4.309751511;80.63349915;3
1832.5;-30.43257332;2.330321074;2.492912769;4.114850998;89.94500732;3
1833;-19.72482109;2.440495491;2.892102242;7.707588196;107.4813995;3
1833.5;-7.213273048;2.268022776;2.923850298;2.03105402;111.7811813;3
1834;-5.673199654;2.269230366;2.963528633;2.198378325;108.4177094;3
1834.5;-5.035216808;2.357048988;2.98579526;1.728185773;103.7544785;3
1835;-5.49036932;2.46568799;3.0949862;1.746497512;93.75035858;3
1835.5;-13.43680668;2.496694803;2.905440807;2.709350348;87.98904419;3
1836;-26.80169106;2.312048435;2.648181915;5.382768154;84.32649994;3
1836.5;-30.85744858;2.24457407;2.519494534;5.658029079;84.05854797;3
1837;-34.68424606;2.313079834;2.351240873;6.028147221;83.92462921;3
1837.5;-35.52497101;2.279024601;2.276893139;6.741167069;83.64754486;3
1838;-34.72510529;2.310667753;2.263864517;6.811191082;82.79152679;3
1838.5;-35.13272476;2.298964024;2.305870056;6.171371937;82.08255768;3
1839;-36.0279541;2.311364651;2.359173775;5.548430443;82.22782898;3
1839.5;-32.12081146;2.319535255;2.303583622;5.670905113;82.51223755;3
1840;-24.42429352;2.318699598;2.439480782;6.388288975;79.61682892;3
1840.5;-11.3689146;2.494626522;3.071934223;5.868471623;79.98034668;3
1841;-4.85217905;2.314915657;2.776604414;1.144958139;100.3930206;3
1841.5;-5.130383492;2.295533419;3.024960041;1.525806665;102.4795761;3
1842;-5.50619173;2.303894043;3.082112074;2.527850151;102.3393097;3
1842.5;-5.587013245;2.376142502;3.286143303;3.861377478;99.80281067;3
1843;-6.293308735;2.390640974;3.1165061;5.012096405;98.38969421;3
1843.5;-7.28488636;2.473845959;2.917113304;4.011403084;93.30254364;3
1844;-17.15844536;2.466628552;2.764450073;3.509165525;87.41375732;3
1844.5;-29.28427696;2.319060326;2.481146097;5.587649822;85.88010407;3
1845;-33.58088684;2.274772406;2.293343306;6.675680161;87.38523865;3
1845.5;-35.03521729;2.263584137;2.256161213;5.662389278;87.27640533;3
1846;-35.02337646;2.276996374;2.40860343;5.688402653;86.56641388;3
1846.5;-35.44691086;2.313970089;2.477320671;5.796900749;85.16524506;3
1847;-35.44855118;2.300147295;2.340403318;5.909684181;83.86491394;3
1847.5;-37.44729614;2.341794491;2.41002512;5.906707764;83.52209473;3
1848;-41.0259552;2.299113989;2.26331234;4.927055359;83.34172058;3
1848.5;-40.00336075;2.277787209;2.202869415;4.532189846;83.03316498;3
1849;-34.69818878;2.309751988;2.231457233;5.261453629;82.93205261;3
1849.5;-31.66590309;2.313337565;2.182772636;6.630715847;82.86617279;3
1850;-24.80789566;2.297090054;2.296743155;6.883707047;77.20566559;3
1850.5;-12.63426304;2.467261076;2.851416588;5.449928284;81.36321259;3
1851;-6.129796028;2.435565472;2.870566368;1.767682672;89.09970856;3
1851.5;-4.591883659;2.409764528;3.046435595;1.503914237;93.64909363;3
1852;-4.773582458;2.347510099;3.156588554;1.953358293;97.6558075;3
1852.5;-5.504827499;2.273801327;3.026610851;2.392622471;104.477478;3
1853;-6.048229218;2.267446995;2.915540695;3.196320534;107.5088348;3
1853.5;-6.562983036;2.390835524;3.280080319;4.762025833;104.5565414;3
1854;-6.317417145;2.37441349;3.354099751;5.53146553;102.9502182;3
1854.5;-6.569431305;2.271814585;3.117097855;2.653232336;107.4545898;3
1855;-7.240944862;2.289583206;3.025941849;2.673249006;110.7232437;3
1855.5;-7.791568279;2.283962965;2.923075676;3.101087809;109.5418701;3
1856;-8.638092041;2.304986;3.088712692;8.09770298;109.9109268;3
1856.5;-9.428152084;2.34544754;2.984482288;7.907878876;109.5226517;3
1857;-10.44444466;2.432563782;2.867278338;12.4369154;103.3245544;3
1857.5;-11.41057777;2.484334707;2.751970768;3.895488262;88.96117401;3
1858;-13.45100784;2.465218544;2.824640274;2.667966127;87.03594971;3
1858.5;-14.75852585;2.463424444;2.694403172;2.769996882;84.18264771;3
1859;-23.05736351;2.473011017;2.677033901;5.737052441;81.82580566;3
1859.5;-30.12097168;2.316404104;2.81064105;8.079624176;79.23246002;3
1860;-34.54960632;2.332446575;2.926332712;13.79378223;79.49499512;3
1860.5;-35.26684189;2.394119263;2.734429598;9.589841843;78.41101837;3
1861;-36.25789642;2.375852585;2.486333609;10.26837063;80.98892212;3
1861.5;-37.7385788;2.320242643;2.299392462;7.456044197;81.84751129;3
1862;-39.4630661;2.32521224;2.41129303;8.520390511;81.64156342;3
1862.5;-41.08242798;2.276818514;2.355089903;8.538448334;82.00887299;3
1863;-42.32118988;2.276334763;2.290915489;6.964513779;84.02917481;3
1863.5;-41.84268951;2.305769205;2.22527504;5.708998203;83.34230042;3
1864;-40.31633759;2.306408644;2.266818523;4.475434303;82.52277374;3
1864.5;-35.49389267;2.335687876;2.377577305;3.899181604;84.00157929;3
1865;-29.47400284;2.339796782;2.416168451;3.566977978;80.96379852;3
1865.5;-22.61242294;2.414582491;2.735312939;5.039418221;88.23644257;3
1866;-11.86305237;2.422630549;3.097475767;3.963498116;89.55937195;3
