 0.0000000000  -999.250000 -665.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -776.2152710 -946.6040039  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -666.4707642  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 1.0000000000  -999.250000 -664.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -775.0485229 -945.1811523  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -665.1347656  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 2.0000000000  -999.250000 -663.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -773.8818359 -943.7583618  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -663.7987671  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 3.0000000000  -999.250000 -662.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -772.7150879 -942.3355103  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -662.4627686  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 4.0000000000  -999.250000 -661.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -771.5484009 -940.9126587  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -661.1267700  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 5.0000000000  -999.250000 -660.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -770.3817139 -939.4898682  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -659.7907715  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 6.0000000000  -999.250000 -659.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -769.2149658 -938.0670166  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -658.4547729  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 7.0000000000  -999.250000 -658.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -768.0482788 -936.6442261  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -657.1187744  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 8.0000000000  -999.250000 -657.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -766.8815308 -935.2213745  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -655.7827759  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
 9.0000000000  -999.250000 -656.2999878  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -765.7148438 -933.7985840  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000 -654.4467773  -999.250000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000  -999.250000
