DEPTH,GR,SP,RES,zonas
2133.0,79.42,-20.93,8.06,Zona 4
2134.0,79.97,-1.12,2.94,Zona 4
2135.0,84.63,-3.76,3.15,Zona 4
2136.0,82.8,-2.14,3.25,Zona 4
2137.0,85.98,0.51,2.64,Zona 4
2138.0,85.04,-8.46,5.37,Zona 4
2139.0,82.86,-0.55,3.35,Zona 4
2140.0,82.83,-1.06,2.81,Zona 4
2141.0,76.69,-45.36,8.84,Zona 4
2142.0,78.42,-39.48,8.36,Zona 4
2143.0,81.23,-0.88,2.6,Zona 4
2144.0,84.22,-0.44,2.5,Zona 4
2145.0,83.36,-0.44,2.56,Zona 4
2146.0,78.21,0.28,3.15,Zona 4
2147.0,78.41,-3.28,3.69,Zona 4
2148.0,75.22,-11.18,6.64,Zona 4
2149.0,71.13,-10.92,7.41,Zona 4
2150.0,79.69,-0.91,2.89,Zona 4
2151.0,88.93,-4.29,2.49,Zona 4
2152.0,86.58,-12.0,3.8,Zona 4
2153.0,88.49,-23.02,5.54,Zona 4
2154.0,75.47,-16.64,6.75,Zona 4
2155.0,81.56,-2.56,3.32,Zona 4
2156.0,82.7,-0.74,2.98,Zona 4
2157.0,84.86,-9.54,3.35,Zona 4
2158.0,82.33,-13.29,4.04,Zona 4
2159.0,87.28,-9.39,2.7,Zona 4
2160.0,84.18,0.0,2.34,Zona 4
2161.0,81.76,-5.68,2.94,Zona 4
2162.0,83.08,-29.69,5.39,Zona 4
2163.0,80.43,-52.22,11.83,Zona 4
2164.0,74.33,-18.79,6.04,Zona 4
2165.0,79.68,0.48,3.29,Zona 4
2166.0,82.25,-6.73,3.43,Zona 4
2167.0,77.69,-9.37,4.49,Zona 4
2168.0,75.57,-15.53,5.96,Zona 4
2169.0,83.34,-11.38,3.8,Zona 4
2170.0,84.55,-16.41,4.24,Zona 4
2171.0,84.76,-8.09,3.07,Zona 4
2172.0,82.4,0.0,2.8,Zona 4
2173.0,82.61,-11.01,3.29,Zona 4
2174.0,82.7,-26.59,4.67,Zona 4
2175.0,83.24,-14.91,3.77,Zona 4
2176.0,81.9,-5.1,3.28,Zona 4
2177.0,85.59,0.0,2.38,Zona 4
2178.0,87.5,-7.27,2.87,Zona 4
2179.0,83.5,-0.28,2.81,Zona 4
2180.0,86.7,-4.15,2.75,Zona 4
2181.0,85.81,-0.42,2.53,Zona 4
2182.0,87.76,-16.94,3.63,Zona 4
